Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Ahri Meow,Leviathan [Primal],4747,234,,
2,Pekora Meow,Leviathan [Primal],4299,173,,
3,Emi Meow,Siren [Aether],4030,252,,
4,Mtn Boop,Brynhildr [Crystal],3979,154,,
5,Akari Tsuki,Adamantoise [Aether],3811,161,92,3
6,Seto Mimyho,Behemoth [Primal],3806,132,,
7,Ham Baga,Balmung [Crystal],3671,332,,
8,Miyu Moon,Mateus [Crystal],3663,260,,
9,Tomo Kote,Gilgamesh [Aether],3524,109,,
10,Doomballoon Dapingus,Diabolos [Crystal],3491,177,,
11,Suhr Zarek,Balmung [Crystal],3466,237,,
12,Sanguinius Smolblood,Kraken [Dynamis],3455,488,,18
13,Charlie Zelenoff,Cuchulainn [Dynamis],3357,123,,
14,Unagi Box,Cuchulainn [Dynamis],3314,245,92,1
15,Sylvie Chan,Brynhildr [Crystal],3284,145,,
16,Rion Twosland,Ultros [Primal],3266,133,,
17,Meteor Moon,Rafflesia [Dynamis],3257,73,,
18,Original Dsi,Gilgamesh [Aether],3252,193,,
19,Crow Meow,Jenova [Aether],3216,103,,
20,Ser Oswald,Mateus [Crystal],3200,90,,
21,Merlin Emryss,Faerie [Aether],3164,330,,13
22,Aoi Kami,Gilgamesh [Aether],3161,212,,4
23,Rae Rea,Seraph [Dynamis],3132,215,,
24,Azar Kaveh,Hyperion [Primal],3089,791,,
25,Terro Beoulve,Coeurl [Crystal],3087,188,,
26,Buzzy Wuzzy,Balmung [Crystal],3084,87,,
27,Fulheart Grit,Balmung [Crystal],3080,293,,9
28,Nini Kaukau,Leviathan [Primal],3071,218,,4
29,Artesia Saeyrs,Sargatanas [Aether],3065,97,,
30,Oikawa Toru,Seraph [Dynamis],3063,120,,
31,Uki Yo,Adamantoise [Aether],3053,130,,
32,Bon Ten,Seraph [Dynamis],3041,113,190,5
33,J'heero Eshe,Lamia [Primal],3036,160,,
34,Void Stellarvore,Exodus [Primal],3028,155,,
35,Sovereign Phil,Goblin [Crystal],3022,126,,
36,Mavis Enyo,Excalibur [Primal],3019,78,,
37,Kairi Rune,Hyperion [Primal],3017,661,,2
38,Aveise Sigrid,Marilith [Dynamis],2738,226,,2
39,Shimori Bunihara,Lamia [Primal],2718,240,,
40,Mac Arena,Adamantoise [Aether],2702,117,503,35
41,Sanahi Keto,Hyperion [Primal],2645,144,,
42,Silanah Sylphrena,Faerie [Aether],2633,141,,15
43,Boulder Beholder,Faerie [Aether],2616,90,,
44,Kheda Mars,Excalibur [Primal],2607,116,,
45,Local-area Network,Cactuar [Aether],2601,151,,
46,Ni Xi,Malboro [Crystal],2598,387,,
47,Goemon Da-cat,Behemoth [Primal],2585,208,,17
48,Ton'au Twostick,Sargatanas [Aether],2546,282,,
49,Mash Buttons,Ultros [Primal],2528,254,103,9
50,Neo Dymium,Siren [Aether],2513,215,,5
51,Lucio Harundo,Leviathan [Primal],2503,451,,
52,Hollow Bastion,Rafflesia [Dynamis],2490,101,,
53,Ibrahim Immortalis,Zalera [Crystal],2433,367,,14
54,Aesa Iys,Kraken [Dynamis],2398,113,,
