Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Miyu Moon,Mateus [Crystal],3756,93,0,1
2,Ahri Meow,Leviathan [Primal],3739,143,100,2
3,Pekora Meow,Leviathan [Primal],3385,242,0,7
4,Legendary Ash,Faerie [Aether],3294,117,0,0
5,Tomo Kote,Gilgamesh [Aether],3171,246,0,2
6,Emi Meow,Siren [Aether],3095,78,0,0
7,Azure Balmung,Gilgamesh [Aether],3079,59,0,0
8,Meteor Moon,Rafflesia [Dynamis],3072,279,0,0
9,Artesia Saeyrs,Sargatanas [Aether],3061,58,0,0
10,Hollow Bastion,Rafflesia [Dynamis],3057,78,0,0
11,Crow Meow,Jenova [Aether],3055,80,0,0
12,Cyphos Ultimus,Balmung [Crystal],2896,144,0,0
13,Sanahi Keto,Hyperion [Primal],2819,294,0,2
14,Barock Obama,Siren [Aether],2787,402,0,17
15,Merlin Emryss,Faerie [Aether],2684,178,0,0
16,Mac Arena,Adamantoise [Aether],2675,44,0,0
17,Kairi Rune,Hyperion [Primal],2664,292,0,8
18,Local-area Network,Cactuar [Aether],2606,53,0,0
19,Lucio Harundo,Leviathan [Primal],2589,395,69,9
20,Azar Kaveh,Mateus [Crystal],2584,529,0,3
21,Fye Alanyk,Diabolos [Crystal],2517,342,0,7
22,Hrothmar Blackburns,Adamantoise [Aether],2425,348,0,9
23,Pvp Badboy,Sargatanas [Aether],2421,193,0,11
24,Ham Baga,Balmung [Crystal],2389,238,0,7
25,Zypris Allsbane,Leviathan [Primal],2364,127,0,3
26,Terro Beoulve,Coeurl [Crystal],2310,156,99,3
27,Rin Ruki,Exodus [Primal],2297,100,0,0
28,Fulheart Grit,Balmung [Crystal],2273,129,0,0
29,Size Difference,Sargatanas [Aether],2271,190,0,0
30,Olivia Lugria,Sargatanas [Aether],2264,236,0,0
31,Vittorio Moretti,Diabolos [Crystal],2263,148,0,0
32,Rae Rea,Adamantoise [Aether],2194,36,0,0
33,Sparrow Hawk,Seraph [Dynamis],2190,95,10,9
34,Suhr Zarek,Balmung [Crystal],2129,390,0,16
35,Sanguinius Smolblood,Kraken [Dynamis],2078,184,0,0
36,Gongsun Qerel,Mateus [Crystal],2063,195,0,13
37,J'heero Eshe,Lamia [Primal],2013,130,107,6
38,Yua Churu,Goblin [Crystal],2002,132,0,6
39,Clara Green,Gilgamesh [Aether],1982,115,0,2
40,Air Azure,Rafflesia [Dynamis],1970,147,71,7
41,Momo Meow,Siren [Aether],1909,40,0,4
42,Norma Jeannie,Jenova [Aether],1890,75,500,6
43,Bepsi Kola,Adamantoise [Aether],1879,200,0,0
44,Sylvie Chan,Brynhildr [Crystal],1846,226,0,10
45,Yuseong Regilis,Exodus [Primal],1827,111,0,0
46,Micro Uryade,Sargatanas [Aether],1819,192,197,3
47,Fortune Days,Zalera [Crystal],1807,78,0,0
48,Xiao Longbao,Excalibur [Primal],1787,418,0,18
49,Suhr Zarek,Goblin [Crystal],1781,70,0,4
50,Death Reaps,Balmung [Crystal],1771,162,0,1
51,Naomi Hakoma,Halicarnassus [Dynamis],1710,83,0,0
52,Myu Meow,Leviathan [Primal],1703,113,0,0
53,Show Maker,Kraken [Dynamis],1699,121,0,8
