Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Lybel Alyborias,Louisoix [Chaos],3081,198,0,0
2,Cliffe Zanza,Spriggan [Chaos],2923,166,0,0
3,Crow Xo,Zodiark [Light],2672,101,0,6
4,Saboree Catboy,Spriggan [Chaos],2571,259,275,24
5,Scarlet Rose,Spriggan [Chaos],2405,181,0,16
6,Aura Sphere,Zodiark [Light],2358,86,0,0
7,Toni Kroos,Twintania [Light],2295,186,0,0
8,Akari Tsuki,Louisoix [Chaos],2194,79,198,5
9,Lucy Lumi,Louisoix [Chaos],2055,204,0,36
10,Loty Coldwind,Twintania [Light],2024,169,197,10
11,Tyra Kett,Spriggan [Chaos],1907,130,0,9
12,Kyouko Owo,Louisoix [Chaos],1760,95,0,0
13,Tarutella Goldfish,Phoenix [Light],1710,149,0,20
14,Mamiyama Kamimama,Spriggan [Chaos],1705,60,98,19
15,Blue Cat,Twintania [Light],1702,56,999,28
16,Raiden Thorne,Zodiark [Light],1667,50,0,9
17,Claire Hart,Ragnarok [Chaos],1623,68,99,9
18,Xen Thique,Odin [Light],1600,44,82,8
19,Vai Zol,Odin [Light],1599,130,591,16
20,Kure Reze,Zodiark [Light],1592,208,0,20
21,Tsukuyo Ritlas,Odin [Light],1590,46,0,7
22,Miyu Edelfelt,Phoenix [Light],1576,133,586,13
23,Auelin Fae,Zodiark [Light],1576,43,0,0
24,Cat Wife,Zodiark [Light],1526,55,3,6
25,Yun' Yun,Cerberus [Chaos],1518,196,4,16
26,Elohim Meth,Raiden [Light],1512,193,297,10
27,Ange Melrose,Omega [Chaos],1510,81,1,19
28,Ase Escadora,Alpha [Light],1506,131,0,0
29,Lylia Venis,Moogle [Chaos],1408,57,0,0
30,Makoto Kurusu,Alpha [Light],1384,151,0,3
31,Lex'ander Wayfarer,Odin [Light],1379,98,0,0
32,Shimori Bunihara,Raiden [Light],1317,75,0,0
33,Kayf Xiv,Ragnarok [Chaos],1305,80,15,20
34,Miyu Moon,Moogle [Chaos],1299,45,0,0
35,Snap Ringer,Omega [Chaos],1276,66,0,0
36,Dalik Mathis,Ragnarok [Chaos],1264,114,0,0
37,Meryll Enetari,Cerberus [Chaos],1209,178,207,13
38,Vanilla Blossom,Moogle [Chaos],1194,69,0,0
39,Tei Tei,Odin [Light],1186,163,0,21
40,Taiya Li,Phoenix [Light],1170,57,194,10
41,Alistair Astrea,Ragnarok [Chaos],1108,134,16,9
42,Baka Bao,Phantom [Chaos],1106,218,0,25
43,Misora Kaiatsa,Moogle [Chaos],1095,61,0,11
44,Solla Sparco,Ragnarok [Chaos],1093,138,0,11
45,Zot To,Cerberus [Chaos],1092,25,199,2
46,Imy Pure,Cerberus [Chaos],1089,47,198,12
47,Mahou Mahou,Odin [Light],1081,107,0,0
48,Sheidyn Windsor,Omega [Chaos],995,133,0,0
49,Selin Naari,Cerberus [Chaos],990,96,0,4
50,Shia Sun,Odin [Light],981,58,0,12
51,Based Miqote,Twintania [Light],906,120,0,3
52,Aurora Maou,Louisoix [Chaos],901,132,96,11
53,Holos Ymir,Cerberus [Chaos],897,61,98,1
54,Thor Strom,Cerberus [Chaos],887,166,0,24
55,Maarato Cookie,Twintania [Light],883,35,0,0
56,Yamizura Kumozuma,Twintania [Light],876,43,290,10
57,Tay Talenath,Raiden [Light],799,108,0,8
58,Lhei Tayun,Zodiark [Light],795,188,0,8
