Rank,Name,World,Credits,Victories
1,Scarlet Rose,Spriggan [Chaos],3954,314
2,Loty Coldwind,Twintania [Light],3503,149
3,Slayn Lockmeier,Ragnarok [Chaos],3295,165
4,Saboree Catboy,Spriggan [Chaos],3202,237
5,Cat Wife,Zodiark [Light],3135,57
6,Cliffe Zanza,Spriggan [Chaos],2972,233
7,Lucy Lumi,Louisoix [Chaos],2463,95
8,Crow Xo,Zodiark [Light],2407,92
9,Maarato Cookie,Twintania [Light],2215,129
10,Ange Melrose,Omega [Chaos],2155,197
11,Ase Escadora,Alpha [Light],2152,169
12,Yamizura Kumozuma,Twintania [Light],2083,85
13,Akari Tsuki,Louisoix [Chaos],2068,95
14,Miyu Edelfelt,Phoenix [Light],2036,157
15,Tsukuyo Ritlas,Odin [Light],2011,62
16,Sice Seven,Moogle [Chaos],1974,182
17,Lex'ander Wayfarer,Odin [Light],1894,217
18,Auelin Fae,Zodiark [Light],1875,29
19,Sheidyn Windsor,Omega [Chaos],1598,323
20,Raiden Thorne,Zodiark [Light],1587,68
21,Lybel Alyborias,Louisoix [Chaos],1581,141
22,Snap Ringer,Omega [Chaos],1510,34
23,Yun' Yun,Cerberus [Chaos],1501,116
24,Zot To,Cerberus [Chaos],1394,61
25,Vanilla Blossom,Moogle [Chaos],1301,74
26,Streaming Badboy,Odin [Light],1297,104
27,Meryll Enetari,Cerberus [Chaos],1285,176
28,Milk Jds,Zodiark [Light],1277,125
29,Gaspard Deguingoix,Moogle [Chaos],1202,127
30,Death Fury,Ragnarok [Chaos],1201,62
31,Deadrise Mutombo,Ragnarok [Chaos],1127,58
32,Luca Natura,Omega [Chaos],1103,83
33,Shadow Aya,Zodiark [Light],1097,104
34,Ten Gil,Louisoix [Chaos],1095,149
35,Serafina Cocoapuff,Lich [Light],1008,145
36,Xiex Xie,Zodiark [Light],997,85
37,Victoria Nyala,Phoenix [Light],991,108
38,Yhren Vhal,Odin [Light],991,72
39,Shia Sun,Odin [Light],986,46
40,Xen Thique,Odin [Light],908,97
41,Paranpu Leporine,Omega [Chaos],895,172
42,Sweet Light,Spriggan [Chaos],893,24
43,Farnese Astrope,Odin [Light],813,61
44,Sunie Dakwhil,Twintania [Light],809,106
45,Pre Purify,Spriggan [Chaos],795,20
46,Resilla Frostflow,Cerberus [Chaos],793,73
47,Based Miqote,Twintania [Light],791,115
48,Dalik Mathis,Ragnarok [Chaos],791,40
49,Leedo Dale,Zodiark [Light],790,317
50,Blue Cat,Twintania [Light],788,47
51,Tay Talenath,Raiden [Light],783,138
52,Gamba Winner,Cerberus [Chaos],777,111
53,Imy Pure,Cerberus [Chaos],703,7
54,Neo Saladin,Alpha [Light],702,75
55,Jacob Brandford,Twintania [Light],699,82
56,Khorasan Ataraxia,Shiva [Light],697,228
57,Mer Lin,Spriggan [Chaos],693,40
58,Y'hana Phen,Alpha [Light],686,73
59,Lhei Tayun,Zodiark [Light],605,138
60,Serenity Winecow,Omega [Chaos],603,146
61,Miyu Moon,Moogle [Chaos],601,12
62,Gene Nefreya,Cerberus [Chaos],600,37
63,Memento Mo'ri,Ragnarok [Chaos],599,87
64,Kimbi Aoe,Shiva [Light],598,125
65,Snow Wishzz,Cerberus [Chaos],594,94
66,Yorda Dormin,Phantom [Chaos],594,86
67,Holos Ymir,Cerberus [Chaos],507,52
68,Nimui Moonmoon,Zodiark [Light],505,184
69,Robin Baltemys,Odin [Light],503,39
70,Strom Valentine,Cerberus [Chaos],503,35
71,Rei Nara,Ragnarok [Chaos],502,106
72,Madelynn Veil,Omega [Chaos],501,68
73,Feri De,Twintania [Light],498,132
74,Makoto Kurusu,Alpha [Light],496,48
75,Ovan Armor,Ragnarok [Chaos],494,66
76,Melinoe Mei,Odin [Light],493,54
77,The Phasebreaker,Ragnarok [Chaos],403,79
78,Hyzenthlay Efrafa,Ragnarok [Chaos],401,33
79,Sarah Pelepas,Twintania [Light],399,100
80,Aura Sphere,Zodiark [Light],399,10
81,Sotek Scherwil,Twintania [Light],398,22
82,Brian Ricardo,Zodiark [Light],397,57
83,Celian Kredor,Omega [Chaos],393,128
84,Delzor Waka,Odin [Light],390,11
85,Taiya Li,Phoenix [Light],306,45
86,Altrios Alrun,Odin [Light],301,24
87,Myst Freyja,Omega [Chaos],300,54
88,Yamakaji Edo'sen,Moogle [Chaos],299,92
89,Tensei Kaiten,Raiden [Light],298,66
90,Shimori Bunihara,Raiden [Light],298,55
91,Sin Mirrorslave,Raiden [Light],206,1
92,Mamiyama Kamimama,Spriggan [Chaos],203,11
93,Roy Dimgao,Omega [Chaos],201,68
94,Mono Lith,Omega [Chaos],201,57
95,Ellentir Sergearis,Spriggan [Chaos],201,42
96,Way Shi,Moogle [Chaos],200,106
97,Asphal Flaye,Lich [Light],200,105
98,Redoh Snowh,Raiden [Light],200,88
99,Nefia Kye,Phantom [Chaos],200,87
100,Brindacier Alomon,Phoenix [Light],200,71
101,Aeo We,Ragnarok [Chaos],200,15
102,Amara Blackthorne,Odin [Light],199,39
103,Luna Everlight,Phantom [Chaos],199,19
104,Carrot Papi,Alpha [Light],199,18
105,Wilson D'ball,Phantom [Chaos],197,47
106,Jeppe Zasaki,Zodiark [Light],195,38
107,Fygqhzr Zhgfjhh,Phantom [Chaos],106,38
108,Vir Amantium,Twintania [Light],100,321
109,Joseph Wolfkin,Louisoix [Chaos],100,210
110,Etro Yun'vera,Cerberus [Chaos],100,180
111,Chojin Ashina,Shiva [Light],100,176
112,Mestari Kalastaja,Omega [Chaos],100,165
113,Leo Wolfram,Twintania [Light],100,162
114,Scarlet Elsa,Alpha [Light],100,149
115,Leara Lunandra,Ragnarok [Chaos],100,141
116,Akurei Amotanius,Odin [Light],100,139
117,Vermilion Rose,Phantom [Chaos],100,112
118,Blankit Memezan,Louisoix [Chaos],100,107
119,Riseon Misha,Zodiark [Light],100,106
120,Zhinna Maya,Odin [Light],100,95
121,Ino Based,Alpha [Light],100,91
122,Paper Planes,Raiden [Light],100,90
123,A'dyalani Sato,Odin [Light],100,81
123,Volunna Vanih,Odin [Light],100,81
125,Krek Highwind,Sagittarius [Chaos],100,72
126,Roomi Mae,Raiden [Light],100,71
127,Yuripa Arashi,Shiva [Light],100,68
128,Autuas Au,Phantom [Chaos],100,66
129,Mohli Pestyg,Odin [Light],100,63
130,Diggoo Jumalxtenlavis,Zodiark [Light],100,61
