Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Kite Free,Kujata [Elemental],5169,152,0,5
2,Roric Thorne,Pandaemonium [Mana],5077,101,297,5
3,Tur Vi,Ixion [Mana],5044,159,0,0
4,Kyna Hollowmere,Ultima [Gaia],5009,163,0,0
5,Extra Mage,Garuda [Elemental],4632,231,0,0
6,Uki Yo,Masamune [Mana],4405,132,0,0
7,Nicku Nicku,Tonberry [Elemental],4281,366,0,0
8,Rya Myosotisy,Asura [Mana],4274,198,0,0
9,Envy Lua,Valefor [Meteor],4209,263,0,7
10,Vivi Ann,Kujata [Elemental],4180,203,0,0
11,Paker Zuka,Bahamut [Gaia],4111,103,0,0
12,Tilt Woman,Pandaemonium [Mana],4090,237,0,0
13,Kim Shin,Masamune [Mana],4090,100,0,0
14,Accelerator Xiv,Masamune [Mana],4080,455,0,0
15,Rex Cold,Bahamut [Gaia],4061,140,0,0
16,Lukina Sirobara,Pandaemonium [Mana],4057,200,0,0
17,Aries San,Tiamat [Gaia],4053,157,302,6
18,Kappi Scarlet,Asura [Mana],4050,261,2,12
19,Tomomomo Momomo,Ramuh [Meteor],4040,258,91,7
20,Merry Scrald,Belias [Meteor],4021,166,0,8
21,Cueina Uumi,Titan [Mana],4017,198,2,2
22,Erebus Nocturne,Mandragora [Meteor],4008,57,0,0
23,Sura Imo,Shinryu [Meteor],3945,153,0,3
24,Shien Tia,Ixion [Mana],3943,100,0,0
25,Shiki Hime,Kujata [Elemental],3942,144,0,0
26,Hase Schwarzer,Ifrit [Gaia],3938,295,0,6
27,Makina Belg,Belias [Meteor],3908,283,0,0
28,Hikaru Amanogawa,Unicorn [Meteor],3858,196,0,5
29,Bakeke Bake,Asura [Mana],3853,316,0,10
30,Falaris Whitemoon,Carbuncle [Elemental],3826,512,0,0
31,Notttz Imbrium,Titan [Mana],3825,220,495,5
32,San Sowa,Ridill [Gaia],3764,494,0,15
33,Furanzeska Sumeragi,Tonberry [Elemental],3709,271,200,2
34,Lucy Lumi,Alexander [Gaia],3698,253,0,0
