Rank,Name,World,Credits,Victories
1,Kite Free,Kujata [Elemental],4216,132
2,Rya Myosotisy,Asura [Mana],3451,121
3,Makina Belg,Belias [Meteor],3161,76
4,Jay Eins,Chocobo [Mana],3097,130
5,Felik Mqzino,Ultima [Gaia],3072,96
6,Sorin Maki,Durandal [Gaia],3058,51
7,Djinn Piston,Durandal [Gaia],3050,167
8,Kon Ganajai,Yojimbo [Meteor],3026,134
9,Nothing There,Fenrir [Gaia],3007,49
10,Shien Tia,Ixion [Mana],3002,68
11,Wakaba Mutsumi,Pandaemonium [Mana],2974,52
12,Vivi Ann,Kujata [Elemental],2967,143
13,Noin Kurial,Asura [Mana],2935,103
14,San Sowa,Ridill [Gaia],2903,306
15,Envy Lua,Valefor [Meteor],2878,176
16,Robs Wiz,Aegis [Elemental],2855,196
17,Karma Strife,Chocobo [Mana],2797,98
18,Lucy Lumi,Alexander [Gaia],2784,114
19,Chris Louboutin,Kujata [Elemental],2768,47
20,Saboree Catboy,Masamune [Mana],2703,98
21,Esperante Shock,Belias [Meteor],2688,88
22,Myomyo Russel,Durandal [Gaia],2684,63
23,Piki Pipiki,Pandaemonium [Mana],2671,120
24,K' R',Chocobo [Mana],2640,183
25,Ciel Cocco,Anima [Mana],2620,246
26,Sead Slendisch,Asura [Mana],2613,131
27,Kamai Tatsu,Belias [Meteor],2592,101
28,Tam Sin,Ultima [Gaia],2586,107
29,Samu Ko,Ixion [Mana],2567,96
30,Yoruki Hiroran,Typhon [Elemental],2539,123
31,Tomomomo Momomo,Ramuh [Meteor],2525,101
32,Not Happy,Alexander [Gaia],2516,156
33,Desire Drive,Yojimbo [Meteor],2498,41
34,Paker Zuka,Bahamut [Gaia],2489,70
35,Kappi Scarlet,Asura [Mana],2468,202
36,Punsuko Rageborn,Titan [Mana],2463,114
37,Bikkuri Donkey,Belias [Meteor],2457,81
38,Okome Justice,Durandal [Gaia],2398,72
39,Xignas Schwalbe,Anima [Mana],2397,81
40,Haruka Arashi,Ultima [Gaia],2390,63
41,Ciao' Chu-ru,Asura [Mana],2387,156
42,Peng In,Bahamut [Gaia],2385,284
43,Kusozako Kamemushi,Bahamut [Gaia],2379,66
