Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Shiki Hime,Sophia [Materia],★★★,16,0,0
2,Peaceful Serenity,Sephirot [Materia],★★☆,45,0,0
3,Okkotsu Yuta,Sophia [Materia],★★☆,43,0,0
4,Lil Wu,Ravana [Materia],★★☆,34,0,0
5,Shiny Jirachi,Sophia [Materia],★☆☆,46,0,0
6,Raiosu Eucliffe,Ravana [Materia],★★☆,47,0,0
7,Syth Isi,Sephirot [Materia],★★☆,54,0,0
8,Jiraiya Sannin,Ravana [Materia],★★☆,15,0,0
9,Enrei Mihata,Ravana [Materia],★☆☆,57,0,0
10,Extra Mage,Ravana [Materia],★☆☆,28,0,0
11,Hanami Koi,Sophia [Materia],★★★,8,0,0
12,Mars Bars,Sophia [Materia],★★☆,43,0,0
13,Stu Vermillion,Sephirot [Materia],★★☆,34,0,0
14,Unshao Theruun,Sephirot [Materia],★☆☆,49,0,0
15,Ranko Riselle,Sophia [Materia],★☆☆,22,0,0
16,Lavena Warren,Bismarck [Materia],★★★,33,0,0
17,Twitch Pvpash,Sephirot [Materia],★★☆,36,0,0
18,Byakko Moon,Sephirot [Materia],★★☆,23,0,0
19,Pj Silva,Sephirot [Materia],★☆☆,71,0,0
20,Boz Ulceros,Ravana [Materia],★☆☆,41,0,0
21,Seth Nier,Sophia [Materia],★☆☆,31,0,0
22,Mushidora Valkhana,Ravana [Materia],★★★,105,0,0
23,Lion Lord,Ravana [Materia],★★★,70,0,0
24,Mq Veyexw,Sophia [Materia],★★★,62,0,0
25,The Drink,Ravana [Materia],★★★,35,0,0
26,Lillian Melikai,Ravana [Materia],★★☆,54,0,0
27,Vilo Maxus,Sephirot [Materia],★☆☆,70,0,0
28,Monkey Rat,Zurvan [Materia],★☆☆,52,0,0
29,Jena Kuwahara,Ravana [Materia],★☆☆,48,0,0
30,Aislinn Rose,Ravana [Materia],★☆☆,41,0,0
31,Nirki Yukumo,Zurvan [Materia],★☆☆,4,0,0
32,Disco Knees,Sophia [Materia],★★★,13,0,0
33,Ku Ku,Sophia [Materia],★★★,5,0,0
34,Izaray Wintergray,Sophia [Materia],★★☆,77,0,0
35,Rika Chan,Sophia [Materia],★★☆,34,0,0
36,Swhe Swoo,Sephirot [Materia],★★☆,23,0,0
37,Anzac Fenrir,Ravana [Materia],★☆☆,41,0,0
38,Nissan Silvia,Sophia [Materia],★☆☆,34,0,0
38,Subaru Vivio,Sophia [Materia],★☆☆,34,0,0
40,Scarlette Harlette,Sephirot [Materia],★★★,171,0,0
41,Noelle Frost,Zurvan [Materia],★★★,68,0,0
42,Nina Galbraith,Sophia [Materia],★★★,41,0,0
43,Samara Glazghotwyn,Sephirot [Materia],★★★,33,0,0
44,Red Pocket,Zurvan [Materia],★★★,11,0,0
45,Sean Cody,Sophia [Materia],★★★,10,0,0
46,Kaheira Frae,Ravana [Materia],★★☆,114,0,0
47,Father Figure,Ravana [Materia],★★☆,45,0,0
48,Juru'a Mihrulh,Zurvan [Materia],★★☆,21,0,0
49,Awayi Soleil,Zurvan [Materia],★☆☆,22,0,0
50,Chs Crane,Sophia [Materia],★☆☆,20,0,0
51,Estella Esmeray,Ravana [Materia],★★★,107,0,0
52,Birdy Lou,Sophia [Materia],★★★,94,0,0
53,Hasu Rean,Sophia [Materia],★★★,44,0,0
54,Terack Tre,Ravana [Materia],★★★,10,0,0
55,Cwenhild Reid,Sophia [Materia],★★☆,70,0,0
56,Berogi Avarous,Sophia [Materia],★★☆,44,0,0
57,Sebastian Michaelis,Sephirot [Materia],★☆☆,93,0,0
58,Neo Zee,Ravana [Materia],★☆☆,11,0,0
59,Funeral Pyre,Zurvan [Materia],★☆☆,8,0,0
60,Ashmi Rae,Bismarck [Materia],★★★,8,0,0
61,Daeneris Stormborn,Zurvan [Materia],★★☆,12,0,0
62,Esperance Lightbound,Ravana [Materia],★★☆,1,0,0
63,Nor Xyz,Zurvan [Materia],★☆☆,25,0,0
64,Clars Lester,Sephirot [Materia],★★★,20,0,0
65,Vamp Fatale,Zurvan [Materia],★★★,19,0,0
66,Aurum Blaiddyd,Sophia [Materia],★★★,17,0,0
67,Zervish Vanht,Ravana [Materia],★★☆,32,0,0
68,Lupercal Aurelian,Ravana [Materia],★★☆,17,0,0
69,Eight Aliapoh,Ravana [Materia],★★☆,3,0,0
70,Sil Vanht,Ravana [Materia],★☆☆,24,0,0
70,Yuki Koneko,Sophia [Materia],★☆☆,24,0,0
72,Elto Malto,Zurvan [Materia],★☆☆,17,0,0
73,Sarnai Nazarov,Bismarck [Materia],★★★,70,0,0
74,Muslim Apologist,Ravana [Materia],★★★,20,0,0
75,Skyous Cinderwing,Ravana [Materia],★★★,4,0,0
76,Silence Suzuka,Sophia [Materia],★★☆,22,0,0
77,Cinnamo Roll,Sophia [Materia],★★☆,18,0,0
78,Rorqual Kasa,Sophia [Materia],★☆☆,51,0,0
79,Astoria Einar,Sophia [Materia],★☆☆,40,0,0
80,Han Liu,Ravana [Materia],★☆☆,1,0,0
81,Deimus Holden,Sophia [Materia],★★☆,49,0,0
82,Rue Osmund,Sophia [Materia],★★☆,19,0,0
83,Ashe Elven,Ravana [Materia],★★☆,12,0,0
84,Valya Dream,Sophia [Materia],★☆☆,17,0,0
85,Persona Non-grata,Ravana [Materia],★☆☆,16,0,0
86,Brian Ricardo,Sophia [Materia],★☆☆,13,0,0
87,Tasty Yoo,Sophia [Materia],★★★,24,0,0
88,March Seventh,Sophia [Materia],★★★,19,0,0
89,Ill Ill,Zurvan [Materia],★★☆,18,0,0
90,X'lloon Nitsah,Ravana [Materia],★★☆,8,0,0
91,Hana Kagura,Sophia [Materia],★☆☆,12,0,0
91,Lio Ornedwesfv,Ravana [Materia],★☆☆,12,0,0
91,Wring Hander,Sephirot [Materia],★☆☆,12,0,0
94,R'iff Burton,Bismarck [Materia],★★★,24,0,0
95,Zay Zay,Ravana [Materia],★★★,20,0,0
96,Ezra Blythe,Bismarck [Materia],★★★,18,0,0
97,Sven Eastwood,Zurvan [Materia],★★☆,18,0,0
98,Tifaaaaaaaa Lock'hart,Sophia [Materia],★★☆,14,0,0
99,Ethan Embersworn,Ravana [Materia],★★☆,11,0,0
100,Pollux Renault,Sophia [Materia],★★☆,8,0,0
