Rank,Name,World,Credits,Victories
1,Lil Wu,Ravana [Materia],★☆☆,24
2,Goode Morning,Bismarck [Materia],★☆☆,22
3,Give Up,Sophia [Materia],★☆☆,21
4,Jiraiya Sannin,Ravana [Materia],★☆☆,12
5,Okkotsu Yuta,Sophia [Materia],★★★,32
6,Hanami Koi,Sophia [Materia],★★★,8
7,Syth Isi,Sephirot [Materia],★★☆,34
8,Mars Bars,Sophia [Materia],★★☆,30
9,Extra Mage,Ravana [Materia],★★☆,22
10,Ranko Riselle,Sophia [Materia],★☆☆,22
11,Byakko Moon,Sephirot [Materia],★★☆,21
12,Peaceful Serenity,Sephirot [Materia],★☆☆,31
13,The Drink,Ravana [Materia],★★★,34
14,Unshao Theruun,Sephirot [Materia],★★★,31
15,Vilo Maxus,Sephirot [Materia],★☆☆,70
16,Mq Veyexw,Sophia [Materia],★☆☆,52
17,Monkey Rat,Zurvan [Materia],★☆☆,47
18,Aislinn Rose,Ravana [Materia],★☆☆,39
19,Stu Vermillion,Sephirot [Materia],★☆☆,25
20,Nirki Yukumo,Zurvan [Materia],★☆☆,4
21,Disco Knees,Sophia [Materia],★★★,10
22,Ku Ku,Sophia [Materia],★★★,5
23,Izaray Wintergray,Sophia [Materia],★★☆,75
24,Jena Kuwahara,Ravana [Materia],★★☆,43
25,Lavena Warren,Bismarck [Materia],★★☆,23
25,Swhe Swoo,Sephirot [Materia],★★☆,23
27,Pj Silva,Sephirot [Materia],★☆☆,62
28,Anzac Fenrir,Ravana [Materia],★☆☆,41
29,Nissan Silvia,Sophia [Materia],★☆☆,34
30,Twitch Pvpash,Sephirot [Materia],★☆☆,31
31,Boz Ulceros,Ravana [Materia],★☆☆,24
32,Scarlette Harlette,Sephirot [Materia],★★★,144
33,Nina Galbraith,Sophia [Materia],★★★,41
34,Samara Glazghotwyn,Sephirot [Materia],★★★,33
35,Rika Chan,Sophia [Materia],★★★,31
36,Shiny Jirachi,Sophia [Materia],★★★,28
37,Seth Nier,Sophia [Materia],★★★,23
38,Red Pocket,Zurvan [Materia],★★★,11
39,Kaheira Frae,Ravana [Materia],★★☆,114
40,Father Figure,Ravana [Materia],★★☆,45
41,Lillian Melikai,Ravana [Materia],★★☆,42
42,Subaru Vivio,Sophia [Materia],★★☆,25
43,Juru'a Mihrulh,Zurvan [Materia],★★☆,21
44,Chs Crane,Sophia [Materia],★☆☆,20
45,Estella Esmeray,Ravana [Materia],★★★,91
46,Hasu Rean,Sophia [Materia],★★★,34
47,Terack Tre,Ravana [Materia],★★★,10
48,Cwenhild Reid,Sophia [Materia],★★☆,68
49,Noelle Frost,Zurvan [Materia],★★☆,63
50,Berogi Avarous,Sophia [Materia],★★☆,44
51,Sebastian Michaelis,Sephirot [Materia],★☆☆,89
52,Birdy Lou,Sophia [Materia],★☆☆,77
53,Neo Zee,Ravana [Materia],★☆☆,11
54,Funeral Pyre,Zurvan [Materia],★☆☆,8
55,Mushidora Valkhana,Ravana [Materia],★★★,85
56,Ashmi Rae,Bismarck [Materia],★★★,8
57,Daeneris Stormborn,Zurvan [Materia],★★☆,12
58,Raiosu Eucliffe,Ravana [Materia],★☆☆,20
59,Awayi Soleil,Zurvan [Materia],★☆☆,10
60,Clars Lester,Sephirot [Materia],★★★,20
60,Nor Xyz,Zurvan [Materia],★★★,20
62,Aurum Blaiddyd,Sophia [Materia],★★★,17
63,Zervish Vanht,Ravana [Materia],★★☆,32
64,Eight Aliapoh,Ravana [Materia],★★☆,3
65,Sil Vanht,Ravana [Materia],★☆☆,24
66,Elto Malto,Zurvan [Materia],★☆☆,17
67,Skyous Cinderwing,Ravana [Materia],★★★,4
68,Sarnai Nazarov,Bismarck [Materia],★★☆,67
69,Cinnamo Roll,Sophia [Materia],★★☆,17
70,Rorqual Kasa,Sophia [Materia],★☆☆,51
71,Astoria Einar,Sophia [Materia],★☆☆,39
72,Vamp Fatale,Zurvan [Materia],★☆☆,13
73,Han Liu,Ravana [Materia],★☆☆,1
74,Rue Osmund,Sophia [Materia],★★☆,19
75,Deimus Holden,Sophia [Materia],★☆☆,37
76,Persona Non-grata,Ravana [Materia],★☆☆,16
77,Brian Ricardo,Sophia [Materia],★☆☆,13
78,Dunning Kruger,Ravana [Materia],★★★,46
79,Tasty Yoo,Sophia [Materia],★★★,24
80,March Seventh,Sophia [Materia],★★★,14
81,Ill Ill,Zurvan [Materia],★★☆,18
81,Yuki Koneko,Sophia [Materia],★★☆,18
83,Valya Dream,Sophia [Materia],★★☆,15
84,Silence Suzuka,Sophia [Materia],★★☆,13
85,X'lloon Nitsah,Ravana [Materia],★★☆,8
86,Hana Kagura,Sophia [Materia],★☆☆,12
86,Wring Hander,Sephirot [Materia],★☆☆,12
88,R'iff Burton,Bismarck [Materia],★★★,24
89,Zay Zay,Ravana [Materia],★★★,19
90,Ezra Blythe,Bismarck [Materia],★★★,18
91,Lupercal Aurelian,Ravana [Materia],★★★,10
92,Sven Eastwood,Zurvan [Materia],★★☆,18
93,Diana Qya,Sephirot [Materia],★★☆,5
94,Freesia Mrrow,Sophia [Materia],★★☆,4
95,Pollux Renault,Sophia [Materia],★★☆,3
96,Lion Lord,Ravana [Materia],★☆☆,37
97,Riven River,Sophia [Materia],★☆☆,18
98,Regi Cide,Bismarck [Materia],★☆☆,13
99,Freya Reinhardt,Ravana [Materia],★☆☆,11
100,Erovy Chan,Sephirot [Materia],★☆☆,8
